Date,Open,High,Low,Close,Adj Close,Volume
2023-08-08,8.483796,8.635943,8.455274,8.526094,8.526094,78858386
2023-08-09,8.526188,8.659190,8.451413,8.537759,8.537759,73080616
2023-08-10,8.536752,8.548798,8.405078,8.409074,8.409074,73861280
2023-08-11,8.409157,8.446768,8.326852,8.343222,8.343222,66460329
2023-08-12,8.343155,8.430061,8.337327,8.416136,8.416136,58809054
2023-08-13,8.416077,8.496660,8.360415,8.373978,8.373978,65607747
2023-08-14,8.373421,8.557428,8.340349,8.509432,8.509432,72618667
2023-08-15,8.509778,8.538349,8.006400,8.104029,8.104029,92269391
2023-08-16,8.104035,8.113004,7.649696,7.792254,7.792254,87664703
2023-08-17,7.792491,8.183788,7.296495,7.427072,7.427072,234340480
2023-08-18,7.424105,7.679938,7.392669,7.577132,7.577132,133937873
2023-08-19,7.577992,7.721294,7.516655,7.706826,7.706826,80794346
2023-08-20,7.707054,7.883877,7.697541,7.865500,7.865500,91020274
2023-08-21,7.864440,7.874617,7.477926,7.546622,7.546622,102276282
2023-08-22,7.546438,7.551589,7.186737,7.389942,7.389942,102576254
2023-08-23,7.390796,7.519510,7.314275,7.425846,7.425846,85522933
2023-08-24,7.425935,7.445336,7.111656,7.204529,7.204529,87675802
2023-08-25,7.205719,7.261645,7.066620,7.244300,7.244300,87429486
2023-08-26,7.244313,7.252443,7.144082,7.155114,7.155114,68124417
2023-08-27,7.155055,7.204948,7.103888,7.179000,7.179000,58243172
2023-08-28,7.179072,7.272121,7.085720,7.265204,7.265204,76507548
2023-08-29,7.265007,7.501464,7.120253,7.436326,7.436326,109417764
2023-08-30,7.436818,7.450142,7.193872,7.224955,7.224955,88464461
2023-08-31,7.225089,7.260452,6.857218,6.920789,6.920789,95816874
2023-09-01,6.920752,6.970679,6.651682,6.664157,6.664157,83439305
2023-09-02,6.664211,6.829745,6.644410,6.828084,6.828084,65451901
2023-09-03,6.828378,6.876493,6.769543,6.808622,6.808622,57907830
2023-09-04,6.808361,6.913842,6.677740,6.719969,6.719969,69849773
2023-09-05,6.720615,6.843747,6.670987,6.813491,6.813491,69891050
2023-09-06,6.813797,6.910154,6.731925,6.888483,6.888483,66903278
2023-09-07,6.889578,6.981956,6.814663,6.937230,6.937230,63069578
2023-09-08,6.937809,6.992860,6.800469,6.833853,6.833853,61195084
2023-09-09,6.833812,6.919088,6.812963,6.850561,6.850561,48429546
2023-09-10,6.850930,6.851340,6.619197,6.661048,6.661048,86333784
2023-09-11,6.661049,6.673506,6.303391,6.370999,6.370999,112755916
2023-09-12,6.370740,6.537433,6.348940,6.381011,6.381011,87209135
2023-09-13,6.381366,6.571919,6.372088,6.543868,6.543868,76276974
2023-09-14,6.543665,6.903340,6.508751,6.835611,6.835611,78469289
2023-09-15,6.835821,7.003388,6.770557,6.926131,6.926131,67024707
2023-09-16,6.926136,7.165331,6.926136,7.147991,7.147991,57436908
2023-09-17,7.147858,7.162290,6.924167,6.946220,6.946220,57158936
2023-09-18,6.945775,7.473896,6.865475,7.379036,7.379036,90710012
2023-09-19,7.378962,7.579023,7.218486,7.510188,7.510188,76638805
2023-09-20,7.510130,7.512260,7.211989,7.276811,7.276811,69798957
2023-09-21,7.276887,7.493831,7.181091,7.181100,7.181100,72486058
2023-09-22,7.179236,7.230356,7.047938,7.134265,7.134265,55517070
2023-09-23,7.134113,7.193521,7.063015,7.082995,7.082995,43247834
2023-09-24,7.082925,7.139361,6.973661,6.978529,6.978529,37552291
2023-09-25,6.978132,7.069925,6.932297,7.038658,7.038658,63379906
2023-09-26,7.038348,7.087421,6.918120,6.955625,6.955625,48927758
2023-09-27,6.955437,7.109008,6.907978,6.967410,6.967410,57462178
2023-09-28,6.967326,7.190942,6.939947,7.108081,7.108081,56882608
2023-09-29,7.108171,7.188121,7.081933,7.110103,7.110103,48945422
2023-09-30,7.109994,7.296486,7.096183,7.241119,7.241119,44880973
2023-10-01,7.240846,7.637910,7.190096,7.564339,7.564339,64545226
2023-10-02,7.564352,7.579955,7.127520,7.154543,7.154543,75804359
2023-10-03,7.153743,7.271744,7.054604,7.069598,7.069598,75394644
2023-10-04,7.069627,7.069627,6.897200,6.970643,6.970643,76002370
2023-10-05,6.970864,6.987563,6.781863,6.838069,6.838069,60787805
2023-10-06,6.837775,6.952836,6.825352,6.914849,6.914849,55611602
2023-10-07,6.914857,6.992686,6.884123,6.963348,6.963348,45668673
2023-10-08,6.963543,6.988351,6.862223,6.943636,6.943636,44138092
2023-10-09,6.943883,6.954520,6.629565,6.829002,6.829002,73432131
2023-10-10,6.828763,7.264470,6.623619,6.681616,6.681616,212816484
2023-10-11,6.681711,6.747641,6.502161,6.705511,6.705511,84642538
2023-10-12,6.704968,6.724258,6.421514,6.587175,6.587175,73664182
2023-10-13,6.586760,6.640563,6.514048,6.563008,6.563008,56191700
2023-10-14,6.563026,6.656447,6.563026,6.586166,6.586166,36605438
2023-10-15,6.585722,6.672962,6.536242,6.603029,6.603029,47961854
2023-10-16,6.603224,6.763677,6.582847,6.634135,6.634135,85729671
2023-10-17,6.633745,6.633745,6.393404,6.445323,6.445323,65497194
2023-10-18,6.445389,6.459958,6.299640,6.299640,6.299640,62405322
2023-10-19,6.299334,6.300649,6.186660,6.266321,6.266321,64238690
2023-10-20,6.266699,6.468163,6.253117,6.412899,6.412899,72820254
2023-10-21,6.412849,6.682917,6.374804,6.626347,6.626347,68964644
2023-10-22,6.626532,6.754330,6.525868,6.749467,6.749467,65193853
2023-10-23,6.727635,7.034711,6.632712,7.016096,7.016096,128366683
2023-10-24,7.016178,7.293783,6.826030,6.989090,6.989090,177405565
2023-10-25,6.990557,7.215817,6.907645,7.116574,7.116574,117026083
2023-10-26,7.116660,7.351423,6.927873,7.158261,7.158261,129153044
2023-10-27,7.159555,7.166056,6.937327,7.030354,7.030354,80936002
2023-10-28,7.030288,7.217515,7.026567,7.184305,7.184305,58469487
2023-10-29,7.184246,7.381895,7.063928,7.316870,7.316870,61104552
2023-10-30,7.316725,8.133940,7.226377,8.106802,8.106802,162400749
2023-10-31,8.110557,8.205449,7.772798,7.934500,7.934500,234326837
2023-11-01,7.934781,8.018709,7.569000,7.880958,7.880958,177903210
2023-11-02,7.881799,8.088263,7.610023,7.844842,7.844842,173910469
2023-11-03,7.843755,7.843755,7.570454,7.758009,7.758009,135276793
2023-11-04,7.757799,8.215832,7.720149,8.114064,8.114064,128521701
2023-11-05,8.113479,8.527509,8.065821,8.375171,8.375171,158574844
2023-11-06,8.375220,8.751667,8.338215,8.734998,8.734998,142841467
2023-11-07,8.734584,8.736856,8.187857,8.470746,8.470746,147886328
2023-11-08,8.471393,8.739171,8.392489,8.679195,8.679195,129472169
